sp_I_05,fA_I_05,fB_I_05,qs_I_05,time_05
0.97308874,1.0384843,1.0249865,1.0271498,2014-09-24 17:49:11.483
0.9718513,1.04039,1.0270454,1.0287253,2014-09-24 17:49:12.483
0.972647,1.0426556,1.0278441,1.0293986,2014-09-24 17:49:13.483
0.97122645,1.0408009,1.0255255,1.0270022,2014-09-24 17:49:14.483
0.97032243,1.0418634,1.0253297,1.0273343,2014-09-24 17:49:15.483
0.97115993,1.0426743,1.0273136,1.0282772,2014-09-24 17:49:16.483
0.97376716,1.043792,1.0288563,1.0289121,2014-09-24 17:49:17.483
0.97174907,1.046485,1.0301535,1.028627,2014-09-24 17:49:18.483
0.9731529,1.0500052,1.0328856,1.0298294,2014-09-24 17:49:19.483
0.9721911,1.0511258,1.0325298,1.0282396,2014-09-24 17:49:20.483
0.9728534,1.0513506,1.032509,1.0297902,2014-09-24 17:49:21.483
0.97195476,1.0484245,1.0296884,1.0281909,2014-09-24 17:49:22.483
0.9712143,1.0467781,1.0284033,1.0275688,2014-09-24 17:49:23.483
0.9711336,1.045857,1.0271766,1.0270902,2014-09-24 17:49:24.483
0.9727432,1.0459135,1.0282452,1.0293301,2014-09-24 17:49:25.483
0.97174895,1.0447837,1.0274694,1.0289515,2014-09-24 17:49:26.483
0.9705365,1.0433025,1.0271577,1.0287106,2014-09-24 17:49:27.483
0.9708735,1.0423651,1.0266762,1.027077,2014-09-24 17:49:28.483
0.9709048,1.0440886,1.0280817,1.0274266,2014-09-24 17:49:29.483
0.97101134,1.0464134,1.0299088,1.027838,2014-09-24 17:49:30.483
0.97092533,1.0465636,1.0297326,1.0280863,2014-09-24 17:49:31.483
0.9713297,1.0472224,1.0297238,1.0297309,2014-09-24 17:49:32.483
0.97020006,1.0443497,1.0266114,1.0268112,2014-09-24 17:49:33.483
0.97191066,1.044314,1.0273733,1.0280169,2014-09-24 17:49:34.483
0.972042,1.0433818,1.0263377,1.0279276,2014-09-24 17:49:35.483
0.97106874,1.0424197,1.025462,1.0266049,2014-09-24 17:49:36.483
0.97093385,1.0437107,1.0270698,1.0284245,2014-09-24 17:49:37.483
0.9706742,1.0430051,1.0259184,1.0268193,2014-09-24 17:49:38.483
0.97226787,1.0454104,1.0286778,1.0290015,2014-09-24 17:49:39.483
0.9721216,1.0448022,1.0276448,1.0293361,2014-09-24 17:49:40.483
0.97077703,1.0429244,1.0268457,1.0280958,2014-09-24 17:49:41.483
0.97115046,1.0432527,1.025955,1.0283414,2014-09-24 17:49:42.483
0.97265124,1.0422124,1.0247736,1.0274136,2014-09-24 17:49:43.483
0.9718995,1.0418897,1.0256755,1.029326,2014-09-24 17:49:44.483
0.9714117,1.0424104,1.0256984,1.0293717,2014-09-24 17:49:45.483
0.9707692,1.0403677,1.0238168,1.0269253,2014-09-24 17:49:46.483
0.9711085,1.0411386,1.0251412,1.0283582,2014-09-24 17:49:47.483
0.97031754,1.0419874,1.0252161,1.028952,2014-09-24 17:49:48.483
0.97159445,1.0425235,1.0255888,1.0281537,2014-09-24 17:49:49.483
0.971253,1.0431837,1.026285,1.0290514,2014-09-24 17:49:50.483
0.97236705,1.0442717,1.0281252,1.0294195,2014-09-24 17:49:51.483
0.9730945,1.045064,1.0264035,1.0278993,2014-09-24 17:49:52.483
0.9740949,1.0476843,1.0303403,1.0314296,2014-09-24 17:49:53.483
0.9718009,1.0448302,1.0285397,1.0286514,2014-09-24 17:49:54.483
0.97262603,1.0466431,1.0289416,1.030195,2014-09-24 17:49:55.483
0.97119844,1.0455716,1.0271807,1.0292192,2014-09-24 17:49:56.483
0.9709314,1.0465014,1.0287992,1.0283827,2014-09-24 17:49:57.483
0.97250324,1.0473849,1.0295659,1.0293813,2014-09-24 17:49:58.483
0.97137827,1.0449779,1.0282326,1.0282624,2014-09-24 17:49:59.483
0.9724741,1.0446365,1.0274975,1.0284609,2014-09-24 17:50:00.483
0.9715401,1.0447187,1.0282373,1.0286723,2014-09-24 17:50:01.483
0.9711332,1.0445559,1.0280718,1.028834,2014-09-24 17:50:02.483
0.97204673,1.0440919,1.026889,1.0291634,2014-09-24 17:50:03.483
0.9690223,1.0414088,1.0260016,1.0276097,2014-09-24 17:50:04.483
0.97005886,1.0417895,1.0269009,1.0283588,2014-09-24 17:50:05.483
0.9718837,1.0428858,1.0271488,1.0288837,2014-09-24 17:50:06.483
0.97259665,1.0435781,1.0278026,1.0286447,2014-09-24 17:50:07.483
0.9723936,1.0422912,1.0267668,1.0292397,2014-09-24 17:50:08.483
0.97314435,1.0428472,1.0274781,1.029392,2014-09-24 17:50:09.483
0.97377115,1.0431137,1.0272493,1.029953,2014-09-24 17:50:10.483
0.97289425,1.042549,1.0276827,1.0297787,2014-09-24 17:50:11.483
0.9730171,1.0431576,1.0282184,1.0295768,2014-09-24 17:50:12.483
0.97446334,1.0421624,1.0283278,1.0301107,2014-09-24 17:50:13.483
0.97141045,1.0410984,1.0276284,1.0295714,2014-09-24 17:50:14.483
0.97200286,1.0406513,1.0269564,1.0287484,2014-09-24 17:50:15.483
0.9722814,1.0423608,1.0281765,1.0301852,2014-09-24 17:50:16.483
0.97384846,1.042103,1.0280715,1.0304737,2014-09-24 17:50:17.483
0.97250324,1.0418409,1.0277668,1.02986,2014-09-24 17:50:18.483
0.97414094,1.0423698,1.0285653,1.0303426,2014-09-24 17:50:19.483
0.97221774,1.0407546,1.0271659,1.0297679,2014-09-24 17:50:20.483
