sp_I_10,fA_I_10,fB_I_10,qs_I_10,time_10
1.000568,1.0547957,1.0460103,1.0482982,2014-09-24 17:47:49.483
1.0017227,1.0562987,1.0479833,1.049956,2014-09-24 17:47:50.483
1.0016516,1.0558823,1.0476986,1.0497159,2014-09-24 17:47:51.483
1.000501,1.053961,1.0457026,1.0475197,2014-09-24 17:47:52.483
1.0005767,1.05514,1.0472783,1.0492276,2014-09-24 17:47:53.483
1.0009695,1.0555052,1.0470294,1.048316,2014-09-24 17:47:54.483
1.0005,1.0543507,1.0464182,1.0482558,2014-09-24 17:47:55.483
1.000426,1.0556929,1.0477289,1.0490441,2014-09-24 17:47:56.483
1.002179,1.0557153,1.0484042,1.0491415,2014-09-24 17:47:57.483
1.0003852,1.0548496,1.0472962,1.0479227,2014-09-24 17:47:58.483
1.0021282,1.0577009,1.0504805,1.0509354,2014-09-24 17:47:59.483
1.0008105,1.0557665,1.0477955,1.0486963,2014-09-24 17:48:00.483
1.0010527,1.0555234,1.0484859,1.0489393,2014-09-24 17:48:01.483
1.0000117,1.055385,1.0474969,1.0484784,2014-09-24 17:48:02.483
1.0003536,1.0556114,1.0474216,1.0487347,2014-09-24 17:48:03.483
1.0034829,1.0594013,1.0514084,1.0504739,2014-09-24 17:48:04.483
1.0007997,1.0569954,1.0499308,1.0499282,2014-09-24 17:48:05.483
1.0016593,1.057957,1.0502288,1.0501494,2014-09-24 17:48:06.483
1.0002849,1.0567987,1.0493186,1.0491006,2014-09-24 17:48:07.483
1.0046048,1.0599455,1.0522674,1.0512481,2014-09-24 17:48:08.483
1.001221,1.0569645,1.0491987,1.0487924,2014-09-24 17:48:09.483
1.0023625,1.0577406,1.0501534,1.0492028,2014-09-24 17:48:10.483
1.0022871,1.0585504,1.0501776,1.0506641,2014-09-24 17:48:11.483
1.0018971,1.0566212,1.0498334,1.0493236,2014-09-24 17:48:12.483
1.0017884,1.0563451,1.0493333,1.048969,2014-09-24 17:48:13.483
1.0021124,1.0580528,1.0508927,1.0493466,2014-09-24 17:48:14.483
1.0013994,1.0570958,1.0503346,1.0496048,2014-09-24 17:48:15.483
1.0014563,1.0577555,1.0505056,1.0499076,2014-09-24 17:48:16.483
1.0001758,1.0565591,1.0500791,1.0491517,2014-09-24 17:48:17.483
1.0012531,1.0566854,1.0497638,1.0497292,2014-09-24 17:48:18.483
0.9999334,1.056703,1.0503848,1.0496428,2014-09-24 17:48:19.483
1.0010905,1.05742,1.0505065,1.0497293,2014-09-24 17:48:20.483
1.0024426,1.0574284,1.0499717,1.049418,2014-09-24 17:48:21.483
1.0036583,1.058933,1.0520164,1.0508482,2014-09-24 17:48:22.483
1.0035312,1.0590858,1.0523227,1.0513974,2014-09-24 17:48:23.483
1.002523,1.0579848,1.0517181,1.0510976,2014-09-24 17:48:24.483
1.0017526,1.056636,1.0497332,1.048629,2014-09-24 17:48:25.483
1.0028467,1.058604,1.0514978,1.0513855,2014-09-24 17:48:26.483
1.0022196,1.0577536,1.0507822,1.0506798,2014-09-24 17:48:27.483
1.000884,1.0558383,1.0495322,1.0488845,2014-09-24 17:48:28.483
1.0009947,1.0559051,1.0493411,1.0483894,2014-09-24 17:48:29.483
1.0041773,1.0590775,1.0529246,1.05226,2014-09-24 17:48:30.483
1.0017133,1.0572224,1.051305,1.0508502,2014-09-24 17:48:31.483
1.002702,1.0583227,1.0513761,1.0510978,2014-09-24 17:48:32.483
1.0012197,1.0565348,1.0509943,1.0501796,2014-09-24 17:48:33.483
1.0031157,1.058842,1.0522676,1.0512654,2014-09-24 17:48:34.483
1.0018139,1.0563667,1.0508353,1.0498579,2014-09-24 17:48:35.483
1.0019197,1.0581157,1.0532013,1.0516768,2014-09-24 17:48:36.483
1.0036047,1.0590538,1.0540284,1.0522224,2014-09-24 17:48:37.483
1.0031549,1.058934,1.0534402,1.0524702,2014-09-24 17:48:38.483
1.0042179,1.0600836,1.0541114,1.0521148,2014-09-24 17:48:39.483
1.0043478,1.0596162,1.0543308,1.0528936,2014-09-24 17:48:40.483
1.0031774,1.0592427,1.0534278,1.0517784,2014-09-24 17:48:41.483
1.0025357,1.059248,1.0527632,1.0506302,2014-09-24 17:48:42.483
1.003207,1.0595493,1.0534327,1.051186,2014-09-24 17:48:43.483
1.0048196,1.060288,1.0539622,1.0511315,2014-09-24 17:48:44.483
1.0033342,1.0593374,1.0537231,1.0518978,2014-09-24 17:48:45.483
1.0032212,1.0599496,1.0546936,1.0526576,2014-09-24 17:48:46.483
1.003283,1.0597069,1.0538528,1.0512514,2014-09-24 17:48:47.483
1.0028896,1.0588279,1.0536007,1.0513259,2014-09-24 17:48:48.483
1.0024393,1.0581822,1.0528718,1.0499214,2014-09-24 17:48:49.483
1.0027999,1.0586069,1.0536093,1.050586,2014-09-24 17:48:50.483
1.0028309,1.0593245,1.0548661,1.0513107,2014-09-24 17:48:51.483
1.0028719,1.0589571,1.0545765,1.0522301,2014-09-24 17:48:52.483
1.000233,1.0576787,1.0535069,1.0504057,2014-09-24 17:48:53.483
1.0019773,1.0593936,1.0561085,1.0517398,2014-09-24 17:48:54.483
1.0025496,1.0591152,1.0551417,1.0506377,2014-09-24 17:48:55.483
1.0028793,1.060473,1.0560251,1.0518893,2014-09-24 17:48:56.483
1.001975,1.0601674,1.056753,1.0519998,2014-09-24 17:48:57.483
1.0052527,1.0631715,1.0592905,1.0531784,2014-09-24 17:48:58.483
1.0036516,1.0620229,1.0578067,1.0511056,2014-09-24 17:48:59.483
1.0026485,1.0603684,1.0555545,1.0497478,2014-09-24 17:49:00.483
1.0016731,1.060684,1.0555862,1.0499188,2014-09-24 17:49:01.483
1.0031414,1.0624225,1.0578402,1.0509613,2014-09-24 17:49:02.483
1.0039983,1.0629547,1.0584387,1.0520068,2014-09-24 17:49:03.483
1.0035093,1.0632637,1.0590343,1.0526867,2014-09-24 17:49:04.483
1.0033978,1.064202,1.059724,1.0526428,2014-09-24 17:49:05.483
1.0023637,1.0624593,1.0576799,1.0504296,2014-09-24 17:49:06.483
1.0018917,1.0617981,1.0574453,1.0503187,2014-09-24 17:49:07.483
1.0014589,1.0627408,1.0597883,1.0511293,2014-09-24 17:49:08.483
1.0027716,1.0648472,1.0623614,1.0516783,2014-09-24 17:49:09.483
1.0028456,1.0675558,1.0647908,1.0529999,2014-09-24 17:49:10.483
1.0039909,1.0719092,1.0672724,1.0504751,2014-09-24 17:49:11.483
1.0022223,1.0749483,1.0688839,1.0515556,2014-09-24 17:49:12.483
1.0039048,1.0803797,1.0713203,1.0533303,2014-09-24 17:49:13.483
1.0030189,1.0797553,1.0690062,1.0508314,2014-09-24 17:49:14.483
1.0017709,1.0813245,1.0679579,1.0505087,2014-09-24 17:49:15.483
1.0027347,1.0834944,1.0709074,1.0520767,2014-09-24 17:49:16.483
1.0046042,1.0870235,1.0726618,1.0522103,2014-09-24 17:49:17.483
1.0024537,1.0930266,1.0754937,1.0516236,2014-09-24 17:49:18.483
1.0046769,1.1006712,1.0801946,1.053845,2014-09-24 17:49:19.483
1.0045204,1.1021377,1.0803771,1.0525417,2014-09-24 17:49:20.483
1.004632,1.1010952,1.0789341,1.0536109,2014-09-24 17:49:21.483
1.0033629,1.0959857,1.0748918,1.0519958,2014-09-24 17:49:22.483
1.0032455,1.0924234,1.0733608,1.0520102,2014-09-24 17:49:23.483
1.0034623,1.0898085,1.0711428,1.0511457,2014-09-24 17:49:24.483
